# Source: https://github.com/AsoSoft/Central-Kurdish-Spelling-dataset/
Word	Corrected A	Dist A	Corrected B	Dist B	Desc
بارزگانی	بازرگانی 	1	بازرگانی 	1	
باژیر	باژێر	1			NotCentralKurdish
باستێن	بەستێن	1	بەستێن	1	
باشور	باشوور	1	باشوور	1	
باوەشین	باوەشێن	1			RealWord
باێەخ	بایەخ	1	بایەخ	1	
باێەقوش	بایەقوش	1	بایەقوش	1	
بایەقۆش	بایەقوش	1	بایەقوش	1	
بردەوام	بەردەوام	1	بەردەوام	1	
برگرتن	بەرگری	3	بەرگرتن	1	
برهەم	بەرهەم	1	بەرهەم	1	
بریار	بڕیار	1	بڕیار	1	
بڕیاڕ	بڕیار	1	بڕیار	1	
بزوین	بزوێن	1	بزوێن	1	
بزوینەر	بزوێنەر	1	بزوێنەر	1	
بش	بەش	1	بەش	1	
بلویر	بلوێر	1	بلوێر	1	
بنەرەتی	بنەڕەتی	1	بنەڕەتی	1	
بوچی	بۆچی	1	بۆ چی	2	
بوک	بووک	1	بووک	1	
بوکەشووشە	بووکەشووشە	1	بووکەشووشە	1	
بون	بۆن	1	بۆن	1	
بویە	بۆیە	1	بۆیە	1	
بۆچوۆن	بۆچوون	1	بۆچوون	1	
بێچو	بێچوو	1	بێچوو	1	
بیروبوچوون	بیروبۆچوون	1	بیروبۆچوون	1	
بیروەر	بیرەوەر	1	بیرەوەر	1	
بیرەور	بیرەوەر	1	بیرەوەر	1	
بیرەوری	بیرەوەری	1	بیرەوەری	1	
بیزار	بێزار	1	بێزار	1	
بەپیی	بەپێی	1	بەپێی	1	
بەحەشت	بەهەشت	1	بەهەشت	1	
بەختەوری	بەختەوەری	1	بەختەوەری	1	
بەراستی	بەڕاستی	1	بەڕاستی	1	
بەرجوند	بەرجەوەند	2	بەرژەوەند	3	
بەرجەوند	بەرجەوەند	1	بەرژەوەند	2	
بەرجەوەندە	بەرجەوەند	1	بەرژەوەند	2	
بەرمووور	بەرموور	1	بەرموور	1	
بەرێوەبچێت	بەڕێوەبچێت	1	بە ڕێوە بچێت	3	
بەڕدەڕێژ	بەردەڕێژ	1	بەردەڕێژ	1	
بەزیزە	گەزیزە	1	گەزیزە	1	
بەستین	بەستێن	1			RealWord
بەسوز	بەسۆز	1	بەسۆز	1	
بەفیرۆ	بەفیڕۆ	1	بە فیڕۆ	2	
بەهوی	بەهۆی	1	بەهۆی	1	
بەهیز	بەهێز	1	بەهێز	1	
بەێاخ	بەیاخ	1	بەیاخ	1	
بەێان	بەیان	1	بەیان	1	
پاشکو	پاشکۆ	1	پاشکۆ	1	
پتو	پتەو	1	پتەو	1	
پخشان	پەخشان	1	پەخشان	1	
پراوێز	پەراوێز	1	پەراوێز	1	
پرژین	پەرژین	1	پەرژین	1	
پروانە	پەروانە	1			RealWord
پشکو	پشکۆ	1	پشکۆ	1	
پنا	پەنا	1	پەنا	1	
پوچ	پووچ	1	پووچ	1	
پوز	پۆز	1	پۆز	1	
پولوو	پۆلوو	1	پۆلوو	1	
پۆلو	پۆلوو	1	پۆلوو	1	
پۆلوۆ	پۆلوو	1	پۆلوو	1	
پۆلۆو	پۆلوو	1	پۆلوو	1	
پێکهنان	پێکهێنان	1	پێکهێنان	1	
پیتا	پیت	1	پیت	1	
پیچوانە	پێچەوانە	2	پێچەوانە	2	
پیچەوانە	پێچەوانە	1	پێچەوانە	1	
پیروز	پیرۆز	1	پیرۆز	1	
پیکهێنان	پێکهێنان	1	پێکهێنان	1	
پیکەوە	پێکەوە	1	پێکەوە	1	
پیوێست	پێویست	2	پێویست	2	
پیویست	پێویست	1	پێویست	1	
پیوەندی	پێوەندی	1	پەیوەندی	1	
پیوەندی	پەیوەندی	1	پەیوەندی	1	
پەتەو	پتەو	1	پتەو	1	
پەرانپەر	پەڕانپەڕ	2	پەڕانپەڕ	2	
پەراویز	پەراوێز	1	پەراوێز	1	
پەرسەندن	پەرەسەندن	1	پەرەسەندن	1	
پەروش	پەرۆش	1	پەرۆش	1	
پەرۆینە	پەڕۆینە	1	پەڕۆیینە	2	
پەریشان	پەرێشان	1	پەرێشان	1	
پەریوە	پەڕیوە	1	پەڕیوە	1	
پەرەپیدان	پەرەپێدان	1	پەرەپێدان	1	
پەلەور	پەلەوەر	1	پەلەوەر	1	
پەواوێز	پەراوێز	1	پەراوێز	1	
پەیامنیر	پەیامنێر	1	پەیامنێر	1	
تابا	تەبا	1	تەبا	1	
تامەزرو	تامەزرۆ	1	تامەزرۆ	1	
تامەزوۆ	تامەزرۆ	1	تامەزرۆ	1	
ترسنوک	ترسنۆک	1	ترسنۆک	1	
ترفە	تریفە	1	تریفە	1	
ترم	تەم	1			RealWord
تروپک	ترۆپک	1	ترۆپک	1	
تنوک	تنۆک	1	تنۆک	1	
توران	تۆران	1	تۆران	1	
تومار	تۆمار	1	تۆمار	1	
توۆپک	ترۆپک	1	ترۆپک	1	
تۆرت	تورد	2	تورت	1	
تێکوشان	تێکۆشان	1	تێکۆشان	1	
تیبێنی	تێبینی	2	تێبینی	2	
تیکۆشان	تێکۆشان	1	تێکۆشان	1	
تینو	تینوو	1	تینوو	1	
تەمو	تەموو	1	تەموو	1	
جماەر	جەماوەر	2	جەماوەر	2	
جوتیار	جووتیار	1	جووتیار	1	
جوراوجور	جۆراوجۆر	2	جۆراوجۆر	2	
جوزەردان	جۆزەردان	1	جۆزەردان	1	
جولانە	جۆلانە	1	جۆلانە	1	
جۆراۆجۆر	جۆراوجۆر	1	جۆراوجۆر	1	
جیژوان	جێژوان	1	جێژوان	1	
جیگر	جێگر	1	جێگر	1	
چاروکە	چارۆکە	1	چارۆکە	1	
چارەرەش	چارەڕەش	1	چارەڕەش	1	
چاکا	چاکی	1	چاکی	1	
چاوتروکاو	چاوترووکان	2	چاوترووکان	2	
چاودیر	چاودێر	1	چاودێر	1	
چاوەدیری	چاوەدێری	1	چاودێری	2	
چرو	چرۆ	1	چرۆ	1	
چریک	چریکە	1	چریکە	1	
چکۆڵە	چکۆلە	1	بچکۆلە	2	
چمینەوە	چەمینەوە	1	چەمانەوە	2	
چوپی	چۆپی	1	چۆپی	1	
چوخە	چۆخە	1	چۆخە	1	
چوک	چۆک	1	چۆک	1	
چولەکە	چۆلەکە	1	چۆلەکە	1	
چوڵگە	چۆلگە	2	چۆڵگە	1	
چوم	چۆم	1	چەم	1	
چونیەتی	چۆنیەتی	1	چۆنیەتی	1	
چووار	چوار	1	چوار	1	
چۆبی	چۆپی	1	چۆپی	1	
چۆلکە	چۆلگە	1	چۆڵگە	2	
چیاە	چیا	1	چیا	1	
چیروک	چیرۆک	1	چیرۆک	1	
چەشەن	چەشن	1	چەشن	1	
خاڵخالۆکە	خاڵخاڵۆکە	1	خاڵخاڵۆکە	1	
خانۆێ	خانووی	3	خانووی	3	
خریک	خەریک	1	خەریک	1	
خوریە	خورپە	1	خورپە	1	
خوزگە	خۆزگە	1	خۆزگە	1	
خومەش	خۆمەش	1	خۆمەش	1	
خونۆاندن	خۆنواندن	2	خۆنواندن	2	
خۆرایی	خۆڕایی	1	خۆڕایی	1	
خۆڵقاندن	خوڵقاندن	1	خولقاندن	2	
خۆنۆاندن	خۆنواندن	1	خۆنواندن	1	
خیراکار	خێراکار	1	خێراکار	1	
خیۆ	خێو	2	خێو	2	
خەلات	خەڵات	1	خەڵات	1	
داسپاندن	داسەپاندن	1	داسەپاندن	1	
داهاتو	داهاتوو	1	داهاتوو	1	
دروشانەوە	درەوشانەوە	1	درەوشانەوە	1	
دسپیک	دەسپێک	2	دەستپێک	3	
دق	دەق	1	دەق	1	
دگمەن	دەگمەن	1	دەگمەن	1	
دنگیلە	دەنگیلە	1			Unknown
دواپشو	دواپشوو	1	دوا پشوو	2	
دوخ	دۆخ	1	دۆخ	1	
دوزینەوە	دۆزینەوە	1	دۆزینەوە	1	
دیلوک	دیلۆک	1	دیلۆک	1	
دیمن	دیمەن	1	دیمەن	1	
دەربرین	دەربڕین	1	دەربڕین	1	
دەستەمو	دەستەمۆ	1	دەستەمۆ	1	
دەسروکە	دەسرۆکە	1	دەسرۆکە	1	
دەسەوەر	دەسەوەرە	1	دەستەبەرە	3	
دەفەت	دەرفەت	1	دەرفەت	1	
دەلێت	دەڵێت	1	دەڵێت	1	
دەمانەوی	دەمانەوێ	1	دەمانەوێت	2	
دەمانەۆی	دەمانەوێ	2	دەمانەوێت	3	
دەنوینن	دەنوێنن	1	دەنوێنن	1	
دەواوەتر	دواوەتر	1			UnKnown
دەوند	دوند	1	دوند	1	
دەوەر	دەور	1	دەور	1	
ڕاستەوخو	ڕاستەوخۆ	1	ڕاستەوخۆ	1	
ڕاستەۆخو	ڕاستەوخۆ	2	ڕاستەوخۆ	2	
ڕاستەۆخۆ	ڕاستەوخۆ	1	ڕاستەوخۆ	1	
ڕاندوش	ڕاندۆش	1			UnKnown
ڕاهینەر	ڕاهێنەر	1	ڕاهێنەر	1	
ڕاوستان	ڕاوەستان	1	ڕاوەستان	1	
ڕاوستن	ڕاوەستان	2	ڕاوەستان	2	
ڕاەهاتن	ڕاهاتن	1	ڕاهاتن	1	
ڕوالەت	ڕواڵەت	1	ڕواڵەت	1	
ڕوانگا	ڕوانگە	1	ڕوانگە	1	
ڕوانگاە	ڕوانگە	1	ڕوانگە	1	
ڕوبار	ڕووبار	1	ڕووبار	1	
ڕوچوون	ڕۆچوون	1	ڕۆچوون	1	
ڕوخاو	ڕووخاو	1	ڕووخاو	1	
ڕوژوو	ڕۆژوو	1	ڕۆژوو	1	
ڕوشنبیر	ڕۆشنبیر	1	ڕۆشنبیر	1	
ڕولە	ڕۆڵە	2	ڕۆڵە	2	
ڕووبەروو	ڕووبەڕوو	1	ڕووبەڕوو	1	
ڕۆچون	ڕۆچوون	1	ڕۆچوون	1	
ڕۆچۆون	ڕۆچوون	1	ڕۆچوون	1	
ڕێبار	ڕێباز	1	ڕێباز	1	
ڕێکوپیک	ڕێکوپێک	1	ڕێکوپێک	1	
ڕێکووپێک	ڕێکوپێک	1	ڕێکوپێک	1	
ڕێنوینی	ڕێنوێنی	1	ڕێنوێنی	1	
ڕیبوار	ڕێبوار	1	ڕێبوار	1	
ڕیزانە	ڕێزانە	1			RealWord
ڕیگا	ڕێگا	1	ڕێگا	1	
ڕینووس	ڕێنووس	1	ڕێنووس	1	
ڕینوینی	ڕێنوێنی	2	ڕێنوێنی	2	
ڕەسن	ڕەسەن	1	ڕەسەن	1	
زاخو	زاخۆ	1	زاخۆ	1	
زانکو	زانکۆ	1	زانکۆ	1	
زلیوە	زریوە	1	زریوە	1	
زور	زۆر	1	زۆر	1	
زوربە	زۆربە	1	زۆربە	1	
زێر	زێڕ	1	زێڕ	1	
زید	زێد	1	زێد	1	
زیندو	زیندوو	1	زیندوو	1	
زیوین	زێوین	1	زیوین	0	Correct
زەڕدەپەڕ	زەردەپەڕ	1	زەردەپەڕ	1	
ژور	ژۆر	1	ژوور	1	
ژیلەمو	ژیلەمۆ	1	ژیلەمۆ	1	
ژیلەمۆو	ژیلەمۆ	1	ژیلەمۆ	1	
ساردوسر	ساردوسڕ	1	ساردوسڕ	1	
ساوێلکە	ساویلکە	1	ساویلکە	1	
ستاو	شەتاو	2	شەتاو	2	
سربستی	سەربەستی	2	سەربەستی	2	
سرماوەز	سەرماوەز	1	سەرماوەز	1	
سرودی‌مەن	سروودی‌مان	2			UnKnown
سرەتا	سەرەتا	1	سەرەتا	1	
سو	سۆ	1	سوێ	1	
سورانی	سۆرانی	1	سۆرانی	1	
سوما	سۆما	1	سۆما	1	
سووتو	سووتوو	1	سووتوو	1	
سوورەتو	سوورەتوو	1	سوورەتوو	1	
سۆخمە	سوخمە	1	سوخمە	1	
سەپۆلاوی	شەپۆلاوی	1	شەپۆلاوی	1	
سەربەتم	سەربەتەم	1	سەربەتەم	1	
سەربەخو	سەربەخۆ	1	سەربەخۆ	1	
سەرکوتنە	سەرکەوتن	2	سەرکەوتن	2	
سەرماوە	سەرماوەز	1			RealWord
سەرماەوز	سەرماوەز	1	سەرماوەز	1	
سەروک	سەرۆک	1	سەرۆک	1	
سەڕەڕای	سەرەڕای	1	سەرەڕای	1	
شاروچکە	شارۆچکە	1	شارۆچکە	1	
شتاو	شەتاو	1	شەتاو	1	
شلیرە	شلێرە	1	شلێرە	1	
شنا	شنە	1	شنە	1	
شورەبی	شۆڕەبی	2	شۆڕەبی	2	
شووریی	شوورەیی	1	شوورەیی	1	
شۆرەسواڕ	شۆڕەسوار	2	شۆڕەسوار	2	
شینەیی	شێنەیی	1			RealWord
شەپولاوی	شەپۆلاوی	1	شەپۆلاوی	1	
شەرمیون	شەرمێون	1	شەرمێون		
شەکت	شەکەت	1	شەکەت	1	
شەۆ	شەو	1	شەو	1	
قازناجج	قازانج	2	قازانج	2	
قامانج	قازانج	1	قازانج	1	
قد	قەت	2	قەت	2	
قۆرس	قورس	1	قورس	1	
کاێە	کایە	1	کایە	1	
کرەسە	کەرەسە	1	کەرەستە	2	
کوبوونەوە	کۆبوونەوە	1	کۆبوونەوە	1	
کوتایی	کۆتایی	1	کۆتایی	1	
کوترەباریکە	کۆترەباریکە	1	کۆترەباریکە	1	
کوچەر	کۆچەر	1	کۆچەر	1	
کورتەبزوین	کورتەبزوێن	1	کورتەبزوێن	1	
کوسپ	کۆسپ	1	کۆسپ	1	
کوشک	کۆشک	1	کۆشک	1	
کوڵول	کوڵۆڵ	2	کڵۆڵ	3	
کوڵۆل	کوڵۆڵ	1	کڵۆڵ	2	
کومار	کۆمار	1	کۆمار	1	
کۆبوونەۆە	کۆبوونەوە	1	کۆبوونەوە	1	
کۆرانکاری	گۆڕانکاری	2	گۆڕانکاری	2	
کۆرانی	گۆرانی	1	گۆرانی	1	
کۆڵۆڵ	کوڵۆڵ	1	کڵۆڵ	1	
کۆمەلگا	کۆمەڵگا	1	کۆمەڵگا	1	
کۆێی	کوێی	1	کوێی	1	
کێژ	کەژ	1	کەژ	1	
کیهە	کێهە	1	کام	3	
کەراوسە	کەرەسە	2	کەرەستە	3	
کەۆتە	کەوتە	1	کەوتە	1	
کەێل	کەیل	1	کەیل	1	
گرینگتی	گرینگی	1	گرنگی	2	
گوبەرۆک	گۆبەرۆک	1	گۆبەرۆک	1	
گوچان	گۆچان	1	گۆچان	1	
گووتی	گوتی	1			RealWord
گۆڵاو	گوڵاو	1	گوڵاو	1	
گەلاویژ	گەلاوێژ	1	گەلاوێژ	1	
گەلیک	گەلێک	1	گەلێک	1	
گەمارو	گەمارۆ	1	گەمارۆ	1	
گەول	گەون	1	گەون	1	
گەیز	کەزیە	3	کەزی	2	
لامپەر	لەمپەر	1	لەمپەر	1	
لاوایز	لاواز	1	لاواز	1	
لاوین	لاوێن	1			RealWord
لاین	لایەن	1			RealWord
لوتکە	لۆتکە	1	لووتکە	1	
لێرەوار	لێڕەوار	1	لێڕەوار	1	
لیزان	لێزان	1	لێزان	1	
لیۆ	لێو	2			RealWord
لەخوبوردوو	لەخۆبوردوو	1	لەخۆبوردوو	1	
لەخۆبۆردوو	لەخۆبوردوو	1	لەخۆبوردوو	1	
لەرزوک	لەرزۆک	1	لەرزۆک	1	
لەمپەڕ	لەمپەر	1	لەمپەر	1	
لەمێژو	لەمێژەوە	2	لە مێژەوە	3	
لەمیژەوە	لەمێژەوە	1	لە مێژەوە	2	
لەێ	لەی	1			UnKnown
ماژه	ئاماژە	3	ئاماژە	3	
ماندو	ماندوو	1	ماندوو	1	
ماویێک	ماوەیێک	1	ماوەیەک	2	
ماوەییک	ماوەیێک	1	ماوەیەک	1	
مرج	مەرج	1	مەرج	1	
موچە	مووچە	1	مووچە	1	
موودا	مەودا	1			RealWord
موورو	مووروو	1	مووروو	1	
مێژو	مێژوو	1	مێژوو	1	
مێللورە	مێلوورە	1	مێروولە	3	
میڵلورە	مێلوورە	3	مێروولە	4	
مەتەل	مەتەڵ	1	مەتەڵ	1	
مەوا	هەوا	1	هەوا	1	
نامو	نامۆ	1	نامۆ	1	
ناوندی	ناوەند	2	ناوەند	2	
ناوەروک	ناوەرۆک	1	ناوەڕۆک	2	
نرح	نرخ	1	نرخ	1	
نشیۆ	نشێو	2	نشێو	2	
نوبەرە	نۆبەرە	1	نۆبەرە	1	
نورە	نۆرە	1	نۆرە	1	
نوستو	نوستوو	1	نوستوو	1	
نوینەر	نوێنەر	1	نوێنەر	1	
نۆێنەر	نوێنەر	1	نوێنەر	1	
نیوان	نێوان	1			RealWord
هاتوچو	هاتوچۆ	1	هاتووچۆ	2	
هارکاری	هاریکاری	1	هاریکاری	1	
هارو	هاروو	1	هار و	1	
هاسەرۆک	هاوسەرۆک	1	هاوسەرۆک	1	
هاوێن	هاوین	1	هاوین	1	
هتاو	تاو	1	تاو	1	
همەلایەنە	هەمەلایەنە	1	هەمەلایەنە	1	
هناسە	هەناسە	1	هەناسە	1	
هو	هۆ	1	هۆ	1	
هوا	هەوا	1	هەوا	1	
هور	هەور	1	هەور	1	
هورەاز	هەوراز	2	هەوراز	2	
هوز	هۆز	1	هۆز	1	
هوزان	هۆزان	1	هۆزان	1	
هوگر	هۆگر	1	هۆگر	1	
هۆگو	هۆگر	1	هۆگر	1	
هۆێ	هۆی	1	هۆی	1	
هێشو	هێشوو	1	هێشوو	1	
هێندی	هێندێ	1	هەندێک	3	
هیرو	هێرۆ	2	هێرۆ	2	
هیرۆ	هێرۆ	1	هێرۆ	1	
هیژا	هێژا	1	هێژا	1	
هیژان	هێژان	1	هێژان	1	
هیمن	هێمن	1	هێمن	1	
هەرت	هەرد	1	هەرد	1	
هەلاتن	هەڵاتن	1	هەڵاتن	1	
هەلسەنگاندن	هەڵسەنگاندن	1	هەڵسەنگاندن	1	
هەلفرین	هەڵفڕین	2	هەڵفڕین	2	
هەلکەوتە	هەڵکەوتە	1	هەڵکەوتە	1	
هەڵالە	هەڵاڵە	1	هەڵاڵە	1	
هەڵکۆلین	هەڵکۆڵین	1	هەڵکۆڵین	1	
هەڵوەڕێنم	هەڵوەرێنم	1	هەڵبوەرێنم	2	
هەڵوەڕین	هەڵوەرین	1	هەڵوەرین	1	
هەمولایەنە	هەمەلایەنە	1	هەمەلایەنە	1	
هەمەلایانە	هەمەلایەنە	1	هەمەلایەنە	1	
هەمەلاینە	هەمەلایەنە	1	هەمەلایەنە	1	
هەناسا	هەناسە	1	هەناسە	1	
هەورەها	هەروەها	1	هەروەها	1	
هەوین	هاوین	1	هاوین	1	
واژەدا	واژەدان	1	وشەدان	3	
وستین	ویستن	2	ویستن	2	
ووتن	وتن	1	گوتن	1	
ووتە	وتە	1	گوتە	1	
ووجا	وۆجا	1			NotCentralKurdish
وونی	وۆنی	1			NotCentralKurdish
وویە	وۆیە	1			NotCentralKurdish
وێشر	وێژەر	2	بێژەر	3	
وێشک	ویشک	1	وشک	1	
ویران	وێران	1	وێران	1	
ویژەر	وێژەر	1	بێژەر	2	
وینە	وێنە	1	وێنە	1	
وەرگەرا	وەرگەڕا 	1	وەرگەڕا 	1	
وەشن	وەشەن	1			NotCentralKurdish
یسا	یاسا	1	یاسا	1	
یکگرتوو	یەکگرتوو	1	یەکگرتوو	1	
ئاواێتە	ئاوێتە	1	ئاوایتە	1	
ئاوژوو	ئاوەژوو	1	ئاوەژوو	1	
ئاویتە	ئاوێتە	1			RealWord
ئێساکە	ئێستاکە	1	ئێستاکە	1	
ئیجگار	ئێجگار	1	ئێجگار	1	
ئئەم	ئەم	1	ئەم	1	
ئەژنو	ئەژنۆ	1	ئەژنۆ	1	
ئەستو	ئەستۆ	1	ئەستۆ	1	
