# Source: https://github.com/AsoSoft/Central-Kurdish-Spelling-dataset/					
Word	Corrected	Dist	Freq	HasSpace	Desc
ضمان		-1	4	0	NotKurdish
حزیر		-1	3	0	NotKurdish
الشام		-1	1	0	NotKurdish
عصبی		-1	1	0	NotKurdish
علیاء		-1	1	0	NotKurdish
والذین		-1	1	0	NotKurdish
ئەوەشیخستۆتەروو	ئەوەشی خستووەتە ڕوو	6	1	1	
بەتۆڕەیەوە	بە تووڕەیییەوە	5	1	1	
وبەشێکیانیش	و بەشێکیشیان	5	1	1	
لەوەکردۆتەوە	لەوە کردووەتەوە	4	89	1	
سیانزە	سێزدە	4	6	0	
ڕادەگەیەندراوە	ڕاگەیێنراوە	4	2	0	
هەموارکردۆتەوە	هەموار کردووەتەوە	4	2	1	
بەڕِێوەبەرێتی	بەڕێوەبەرایەتی	4	1	0	
قبوڵکردوەو	قبووڵ کردووە و	4	1	1	
کەوتۆتەخۆ	کەوتووەتە خۆ	4	1	1	
گۆرانکارێکە	گۆڕانکارییەکە	4	1	0	
نەبۆتەوە	نەبووەتەوە	3	46	0	
بەرێوەدەچێت	بە ڕێوە دەچێت	3	17	1	
نوسیویسیەتی	نووسیویەتی	3	7	0	
هۆلیۆد	هۆڵیوود	3	6	0	
ڕوبەرویان	ڕووبەڕوویان	3	3	0	
دورخراوەتەوەو	دوور خراوەتەوە و	3	2	1	
دەستبەکاربکات	دەست بە کار بکات	3	2	1	
غم	گرام	3	2	0	
نەتەنیاهو	ناتانیاهۆ	3	2	0	
هاولاتیانەی	هاووڵاتییانەی	3	2	0	
بەدەسبهێنێت	بە دەست بهێنێت	3	1	1	
خەجتدەکاتەوە	جەخت دەکاتەوە	3	1	1	
ڕاگەیەنراوێکەدا	ڕاگەیێنراوێکدا	3	1	0	
کلچدائۆغلو	کڵچدارئۆغڵو	3	1	0	
کۆبویینەوەو	کۆ بووینەوە و	3	1	1	
گۆرانێکەیدا	گۆرانییەکەیدا	3	1	0	
ناساییە	نایاسایییە	3	1	0	
نەکردبۆوە	نەکردبووەوە	3	1	0	
بەرزبوەوە	بەرز بووەوە	2	368	1	
دەژی	دەژیێت	2	186	0	
لەقۆناغی	لە قۆناخی	2	149	1	
ڕایدەگەیەنین	ڕای دەگەیێنین	2	105	1	
تۆمارکردو	تۆمار کرد و	2	79	1	
هەڵیانکوتایە	هەڵیان بکوتایە	2	38	1	
لەکارکێشاوەتەوە	لە کار کێشاوەتەوە	2	33	1	
پێکهێناو	پێک هێنا و	2	19	1	
بەکاربێت	بە کار بێت	2	18	1	
بەخێراییەکی	بە خێرایییەکی	2	12	1	
کرغیزستان	قیرغیزستان	2	11	0	
بوکەخان	بووکە خان	2	10	1	
بەدووربگرە	بە دوور بگرە	2	10	1	
جێبەجێکردوە	جێبەجێ کردووە	2	8	1	
دوورخراونەتەوەو	دوور خراونەتەوە و	2	8	1	
هەڵسان	هەستان	2	6	0	
سوریاوەو	سووریاوە و	2	5	1	
داخستوەو	داخستووە و	2	4	1	
ڕایشیگەیاندووە	ڕاشی گەیاندووە	2	4	1	
لێبکرێتەوەو	لێ بکرێتەوە و	2	4	1	
ئەرزڕوم	ئەرزیڕۆم	2	4	0	
بەدەستبهێنم	بە دەست بهێنم	2	3	1	
بەکۆتابێت	بە کۆتا بێت	2	3	1	
ڕەمەکییانە	هەڕەمەکییانە	2	3	0	
کۆنتڕڵکردنەوەی	کۆنترۆڵکردنەوەی	2	3	0	
لەرابردووشدا	لە ڕابردووشدا	2	3	1	
بەجددیی	بە جددی	2	2	1	
بەرلەوادەی	بەر لە وادەی	2	2	1	
پڕِۆژەکە	پرۆژەکە	2	2	0	
پلەلەکانی	پلەکانی	2	2	0	
تەلەفیزیۆنەوە	تەلەڤزیۆنەوە	2	2	0	
دەڕبری	دەربڕی	2	2	0	
ڕەتیانکردەوەو	ڕەتیان کردەوە و	2	2	1	
ڕەمەکیی	هەڕەمەکیی	2	2	0	
شەهیدبوە	شەهید بووە	2	2	1	
ڤیدێو	ڤیدیۆ	2	2	0	
کوردیەکەو	کوردییەکە و	2	2	1	
گرەنتییەوەو	گەرەنتییەوە و	2	2	1	
گەشتیەوان	کەشتیوان	2	2	0	
لەبودجەو	لە بودجە و	2	2	1	
لەپڕۆژەکاندا	لە پرۆژەکاندا	2	2	1	
لەڕۆژئاواو	لە ڕۆژئاوا و	2	2	1	
لەومەبەر	لەمەوبەر	2	2	0	
نوێبکرێتەوەو	نوێ بکرێتەوە و	2	2	1	
هەنێکجار	هەندێک جار	2	2	1	
ئالوڤێرا	ئەلۆڤێرا	2	2	0	
ئایدۆلۆجیا	ئایدیۆلۆژیا	2	2	0	
بینایەکەدا	بیناکەدا	2	1	0	
بەدەرناکەوێت	بە دەر ناکەوێت	2	1	1	
بەرزتربێت	بەرزتر ببێت	2	1	1	
بەرزرکردوەتەوە	بەرز کردووەتەوە	2	1	1	
بەیەکێتیە	بە یەکێتییە	2	1	1	
پارێزگاردانیشێت	پارێزگار دابنیشێت	2	1	1	
پرانسیبی	پرەنسیپی	2	1	0	
پێدەوت	پێ دەگوت	2	1	1	
جێبەجیبکەین	جێبەجێ بکەین	2	1	1	
دابەشمانکردون	دابەشمان کردوون	2	1	1	
دروستکرابو	دروست کرابوو	2	1	1	
دوریەوە	دوورییەوە	2	1	0	
دوڕۆژی	دوو ڕۆژی	2	1	1	
دیارنامێنێ	دیار نامێنێت	2	1	1	
ڕوناکیەی	ڕووناکییەی	2	1	0	
ژەنرال	ژەنەراڵ	2	1	0	
عەڕەشەوە	عەرشەوە	2	1	0	
